city,store_name,manufacturer,brand,class,size,sku,price_bracket,year,month
AL BAHA,HM No  57296  GS-CENTER-AL BAHA MAIN RD  AL BAHA,NOVA FOODS,LARA,COCONUT,0.75L,LARA COCONUT 0.75L TWIN PACK,21-30,2024,12
AL KHARJ,HM No  55697  GS-CENTER-AL KHARJ MAIN RD  AL KHARJ,PALM & GRAIN GROUP,NAJMA,CANOLA,0.5L,NAJMA CANOLA 0.5L TWIN PACK,41-50,2024,10
RIYADH,HM No  86781  GS-CENTER-RIYADH MAIN RD  RIYADH,AL HILAL INDUSTRIES,BAYTNA,SUNFLOWER,0.75L,BAYTNA SUNFLOWER 0.75L ECO,101+,2023,1
DAMMAM,HM No  95753  GS-CENTER-DAMMAM MAIN RD  DAMMAM,PALM & GRAIN GROUP,NOUR,CORN,0.6L,NOUR CORN 0.6L TWIN PACK,61-70,2022,2
JAZAN,HM No  56338  GS-CENTER-JAZAN MAIN RD  JAZAN,DESERT SUN CO,NOUR,VEGETABLE,1L,NOUR VEGETABLE 1L,81-90,2024,2
JAZAN,HM No  55164  GS-CENTER-JAZAN MAIN RD  JAZAN,NAJDI CONSUMER,RIMAL,CORN,4L,RIMAL CORN 4L TWIN PACK,21-30,2022,11
TAIF,HM No  68965  GS-CENTER-TAIF MAIN RD  TAIF,ARABIAN HARVEST CO,HILAL,CANOLA,1.8L,HILAL CANOLA 1.8L PLUS,81-90,2024,6
DAMMAM,HM No  74260  GS-CENTER-DAMMAM MAIN RD  DAMMAM,DESERT SUN CO,HILAL,CORN,9L,HILAL CORN 9L FAMILY PACK,21-30,2024,11
DAMMAM,HM No  85005  GS-CENTER-DAMMAM MAIN RD  DAMMAM,AL HILAL INDUSTRIES,GULF GOLD,SUNFLOWER,1.8L,GULF GOLD SUNFLOWER 1.8L PLUS,91-100,2022,11
HAIL,HM No  53665  GS-CENTER-HAIL MAIN RD  HAIL,AL HILAL INDUSTRIES,NAJMA,CORN,1.8L,NAJMA CORN 1.8L PLUS,21-30,2022,10
MAKKAH,HM No  70622  GS-CENTER-MAKKAH MAIN RD  MAKKAH,AL HILAL INDUSTRIES,SABAYA,SUNFLOWER,4.5L,SABAYA SUNFLOWER 4.5L ECO,31-40,2023,3
TAIF,HM No  98823  GS-CENTER-TAIF MAIN RD  TAIF,NAJDI CONSUMER,RIMAL,SUNFLOWER,4L,RIMAL SUNFLOWER 4L ECO,61-70,2022,3
AL KHARJ,HM No  82343  GS-CENTER-AL KHARJ MAIN RD  AL KHARJ,ARABIAN HARVEST CO,NAJMA,CANOLA,0.6L,NAJMA CANOLA 0.6L FAMILY PACK,31-40,2024,7
AL AHSA,HM No  54163  GS-CENTER-AL AHSA MAIN RD  AL AHSA,PALM & GRAIN GROUP,RAWABI,VEGETABLE,2.9L,RAWABI VEGETABLE 2.9L PREMIUM,51-60,2024,1
AL BAHA,HM No  97233  GS-CENTER-AL BAHA MAIN RD  AL BAHA,ARABIAN HARVEST CO,BAYTNA,CORN,10L,BAYTNA CORN 10L FAMILY PACK,61-70,2022,5
JAZAN,HM No  60365  GS-CENTER-JAZAN MAIN RD  JAZAN,BLUE OASIS CO,NAJMA,CORN,3L,NAJMA CORN 3L TWIN PACK,91-100,2022,11
TABUK,HM No  91874  GS-CENTER-TABUK MAIN RD  TABUK,AL HILAL INDUSTRIES,GULF GOLD,CORN,10L,GULF GOLD CORN 10L TWIN PACK,91-100,2024,1
AL AHSA,HM No  71243  GS-CENTER-AL AHSA MAIN RD  AL AHSA,BLUE OASIS CO,NAJMA,CANOLA,1.5L,NAJMA CANOLA 1.5L PLUS,41-50,2022,4
AL AHSA,HM No  55161  GS-CENTER-AL AHSA MAIN RD  AL AHSA,ARABIAN HARVEST CO,SABAYA,CANOLA,10L,SABAYA CANOLA 10L PREMIUM,31-40,2022,11
YANBU,HM No  86031  GS-CENTER-YANBU MAIN RD  YANBU,SAHARA EDIBLES,LARA,VEGETABLE,4L,LARA VEGETABLE 4L ECO,41-50,2024,12
MAKKAH,HM No  63182  GS-CENTER-MAKKAH MAIN RD  MAKKAH,NAJDI CONSUMER,RAWABI,CORN,2.9L,RAWABI CORN 2.9L PREMIUM,81-90,2022,4
TAIF,HM No  54196  GS-CENTER-TAIF MAIN RD  TAIF,DESERT SUN CO,NAJMA,VEGETABLE,3L,NAJMA VEGETABLE 3L TWIN PACK,101+,2022,1
JEDDAH,HM No  96389  GS-CENTER-JEDDAH MAIN RD  JEDDAH,NOVA FOODS,HILAL,CANOLA,0.2L,HILAL CANOLA 0.2L PLUS,21-30,2024,4
TABUK,HM No  93842  GS-CENTER-TABUK MAIN RD  TABUK,BLUE OASIS CO,HILAL,VEGETABLE,0.6L,HILAL VEGETABLE 0.6L FAMILY PACK,101+,2024,8
TAIF,HM No  80996  GS-CENTER-TAIF MAIN RD  TAIF,PALM & GRAIN GROUP,HILAL,CANOLA,0.5L,HILAL CANOLA 0.5L FAMILY PACK,71-80,2023,7
JAZAN,HM No  80606  GS-CENTER-JAZAN MAIN RD  JAZAN,NOVA FOODS,ZAHRA,CANOLA,1.8L,ZAHRA CANOLA 1.8L FAMILY PACK,61-70,2022,4
TAIF,HM No  62465  GS-CENTER-TAIF MAIN RD  TAIF,BLUE OASIS CO,GULF GOLD,SUNFLOWER,0.6L,GULF GOLD SUNFLOWER 0.6L PLUS,81-90,2022,2
YANBU,HM No  86066  GS-CENTER-YANBU MAIN RD  YANBU,ARABIAN HARVEST CO,NAJMA,VEGETABLE,0.2L,NAJMA VEGETABLE 0.2L,41-50,2022,7
YANBU,HM No  81546  GS-CENTER-YANBU MAIN RD  YANBU,AL HILAL INDUSTRIES,RAWABI,CANOLA,0.6L,RAWABI CANOLA 0.6L ECO,11-20$,2023,5
YANBU,HM No  68694  GS-CENTER-YANBU MAIN RD  YANBU,PALM & GRAIN GROUP,BAYTNA,SUNFLOWER,0.6L,BAYTNA SUNFLOWER 0.6L TWIN PACK,51-60,2022,1
AL AHSA,HM No  98217  GS-CENTER-AL AHSA MAIN RD  AL AHSA,NOVA FOODS,NOUR,CANOLA,0.2L,NOUR CANOLA 0.2L PREMIUM,81-90,2024,9
DAMMAM,HM No  53727  GS-CENTER-DAMMAM MAIN RD  DAMMAM,ARABIAN HARVEST CO,GULF GOLD,CANOLA,4L,GULF GOLD CANOLA 4L,41-50,2023,2
AL AHSA,HM No  66135  GS-CENTER-AL AHSA MAIN RD  AL AHSA,NOVA FOODS,RIMAL,CANOLA,1.8L,RIMAL CANOLA 1.8L FAMILY PACK,101+,2024,9
HAIL,HM No  67089  GS-CENTER-HAIL MAIN RD  HAIL,AL HILAL INDUSTRIES,NOUR,COCONUT,1L,NOUR COCONUT 1L ECO,31-40,2024,11
TABUK,HM No  79964  GS-CENTER-TABUK MAIN RD  TABUK,DESERT SUN CO,ZAHRA,CANOLA,2.9L,ZAHRA CANOLA 2.9L PREMIUM,101+,2022,2
AL KHARJ,HM No  63969  GS-CENTER-AL KHARJ MAIN RD  AL KHARJ,NAJDI CONSUMER,GULF GOLD,CORN,0.5L,GULF GOLD CORN 0.5L TWIN PACK,61-70,2023,3
YANBU,HM No  85600  GS-CENTER-YANBU MAIN RD  YANBU,NAJDI CONSUMER,RIMAL,VEGETABLE,0.2L,RIMAL VEGETABLE 0.2L FAMILY PACK,91-100,2023,11
JEDDAH,HM No  58800  GS-CENTER-JEDDAH MAIN RD  JEDDAH,NAJDI CONSUMER,ZAHRA,CANOLA,9L,ZAHRA CANOLA 9L PREMIUM,31-40,2023,5
AL AHSA,HM No  63803  GS-CENTER-AL AHSA MAIN RD  AL AHSA,DESERT SUN CO,HILAL,CORN,3L,HILAL CORN 3L ECO,51-60,2022,2
AL BAHA,HM No  77759  GS-CENTER-AL BAHA MAIN RD  AL BAHA,NAJDI CONSUMER,NAJMA,CANOLA,1.5L,NAJMA CANOLA 1.5L TWIN PACK,51-60,2022,12
YANBU,HM No  86154  GS-CENTER-YANBU MAIN RD  YANBU,PALM & GRAIN GROUP,BAYTNA,CANOLA,0.5L,BAYTNA CANOLA 0.5L,31-40,2024,1
HAIL,HM No  88175  GS-CENTER-HAIL MAIN RD  HAIL,SAHARA EDIBLES,RAWABI,COCONUT,0.2L,RAWABI COCONUT 0.2L PLUS,61-70,2022,6
TAIF,HM No  94699  GS-CENTER-TAIF MAIN RD  TAIF,AL HILAL INDUSTRIES,ZAHRA,CORN,10L,ZAHRA CORN 10L PREMIUM,71-80,2024,12
DAMMAM,HM No  65514  GS-CENTER-DAMMAM MAIN RD  DAMMAM,SAHARA EDIBLES,GULF GOLD,SUNFLOWER,0.2L,GULF GOLD SUNFLOWER 0.2L TWIN PACK,61-70,2023,11
MAKKAH,HM No  66263  GS-CENTER-MAKKAH MAIN RD  MAKKAH,NAJDI CONSUMER,GULF GOLD,CANOLA,1.8L,GULF GOLD CANOLA 1.8L,81-90,2022,4
YANBU,HM No  72915  GS-CENTER-YANBU MAIN RD  YANBU,NAJDI CONSUMER,HILAL,COCONUT,0.2L,HILAL COCONUT 0.2L FAMILY PACK,41-50,2023,6
TABUK,HM No  54549  GS-CENTER-TABUK MAIN RD  TABUK,NAJDI CONSUMER,NOUR,VEGETABLE,1.8L,NOUR VEGETABLE 1.8L FAMILY PACK,91-100,2023,1
